Monitor log by clive at Office - printer,Uptime
2022.05.23-17.08.45,2 days` 0:19:23.420000
2022.05.23-17.09.01,2 days` 0:19:38.610000
2022.05.23-17.09.16,2 days` 0:19:54.130000
2022.05.23-17.09.31,2 days` 0:20:09.610000
2022.05.23-17.09.46,2 days` 0:20:24.540000
2022.05.23-17.10.01,2 days` 0:20:39.560000
2022.05.23-17.10.16,2 days` 0:20:54.690000
2022.05.23-17.10.42,2 days` 0:21:19.520000
2022.05.23-17.10.57,2 days` 0:21:34.460000
2022.05.23-17.11.24,2 days` 0:22:02.410000
2022.05.23-17.11.39,2 days` 0:22:17.640000
